time,ACC_x,ACC_y,ACC_z,GYRO_x,GYRO_y,GYRO_z,MAG_x,MAG_y,MAG_z,D1,D2,BTN1,BTN2
1776674642.1041398,-7,259,-3,-588,-650,524,-425,-378,-42,3,0,0,0
1776674642.231054,-4,265,-10,-1187,-1287,904,-424,-375,-31,5,0,0,0
1776674642.3591402,-2,262,-5,-226,-448,157,-426,-373,-22,6,0,0,0
1776674642.4864442,-12,257,-6,631,-1206,-889,-421,-371,-6,10,0,0,0
1776674642.6425881,-14,274,-17,-755,492,53,-412,-374,7,0,0,0,0
1776674642.7886276,-14,268,-22,-205,-1375,486,-411,-371,19,0,0,0,0
1776674642.9445589,-14,269,-14,-2376,-3247,-1757,-402,-368,40,0,0,0,0
1776674643.0921638,-19,256,-21,-1032,-5416,-377,-377,-378,63,0,0,0,0
1776674643.2195287,-17,261,-7,-2073,2171,-1840,-355,-374,98,11,0,0,0
1776674643.3466606,-13,254,-6,-1380,-2435,-1942,-340,-382,103,3,0,0,0
1776674643.4735425,-10,256,-12,486,-2093,-356,-312,-395,115,2,0,0,0
1776674643.601558,-9,267,-1,-637,-1688,4127,-294,-388,139,2,0,0,0
1776674643.7268999,-29,243,-29,-3928,1871,-3857,-306,-364,154,2,0,0,0
1776674643.8540184,-28,255,-11,-539,-470,-391,-285,-398,133,2,0,0,0
1776674643.9822016,-35,269,-11,46,-1009,1528,-283,-398,136,2,0,0,0
1776674644.108595,-29,274,-2,-3542,1525,-1102,-280,-395,141,2,0,0,0
1776674644.2356532,-24,249,4,-2627,1273,1747,-288,-402,128,2,0,0,0
1776674644.362691,-27,265,2,-1477,1117,528,-309,-401,111,2,0,0,0
1776674644.4893434,-15,268,12,-676,1555,575,-322,-400,100,2,0,0,0
1776674644.6164212,-9,267,11,-584,1022,-153,-334,-394,95,2,0,0,0
1776674644.7425158,-8,263,5,-1214,-933,-663,-336,-395,95,2,0,0,0
1776674644.8693962,-11,271,7,-303,-463,249,-327,-401,96,2,0,0,0
1776674644.9968474,-20,267,1,-647,-1219,-16,-320,-399,105,2,0,0,0
1776674645.1230505,-19,270,4,-689,-780,199,-315,-397,113,3,0,0,0
1776674645.2502642,-13,260,3,-911,-1580,-157,-314,-394,116,2,0,0,0
1776674645.3766925,-16,266,4,-779,-1271,217,-306,-395,124,4,0,0,0
1776674645.5041952,-10,260,3,-272,-431,301,-302,-392,130,2,0,0,0
1776674645.6307201,-9,256,3,-1169,-1267,168,-300,-388,136,2,0,0,0
1776674645.7567153,-4,264,8,-356,-517,59,-290,-391,138,3,0,0,0
1776674645.8839703,-5,263,8,-1213,-1253,182,-282,-392,141,2,0,0,0
1776674646.0107253,-13,271,11,-524,-926,63,-274,-393,147,2,0,0,0
1776674646.1368945,-11,258,9,-265,-2148,408,-269,-392,152,2,0,0,0
1776674646.2644415,-19,256,3,-1630,-998,1673,-258,-386,163,2,0,0,0
1776674646.3901207,0,256,7,-1658,-380,1361,-265,-381,164,2,0,0,0
1776674646.516832,9,267,9,-1867,857,591,-275,-383,158,2,0,0,0
1776674646.6426327,6,286,15,-271,1436,96,-286,-383,150,2,0,0,0
1776674646.770593,13,269,14,188,817,455,-298,-375,151,2,0,0,0
1776674646.8966665,4,270,9,-338,-807,212,-298,-370,155,2,0,0,0
1776674647.0230577,8,261,4,-1490,-1332,-226,-290,-369,161,3,0,0,0
1776674647.1503885,6,266,7,-965,-335,-410,-286,-371,161,2,0,0,0
1776674647.2768555,6,272,10,-923,-317,-507,-280,-375,161,2,0,0,0
1776674647.4034705,4,271,7,-811,-941,-401,-273,-376,164,3,0,0,0
1776674647.530493,5,264,9,-591,458,368,-264,-378,166,2,0,0,0
1776674647.6557312,8,263,13,-1325,291,409,-272,-373,168,3,0,0,0
