time,ACC_x,ACC_y,ACC_z,GYRO_x,GYRO_y,GYRO_z,MAG_x,MAG_y,MAG_z,D1,D2,BTN1,BTN2
1776672045.9655266,13,10,253,-823,56,-9,164,-127,-433,3,0,0,0
1776672046.0914216,13,10,254,-781,28,-12,163,-128,-432,3,0,0,0
1776672046.2195728,13,10,254,-783,40,-30,163,-129,-432,3,0,0,0
1776672046.34524,12,11,253,-782,43,-21,164,-128,-433,3,0,0,0
1776672046.4717424,12,10,254,-801,51,-11,164,-128,-431,3,0,0,0
1776672046.5979114,12,11,254,-799,65,3,163,-129,-433,3,0,0,0
1776672046.724571,12,11,254,-794,15,-36,164,-129,-432,3,0,0,0
1776672046.8510585,13,10,253,-798,24,11,164,-129,-433,3,0,0,0
1776672046.9771485,13,12,254,-835,19,-23,164,-127,-432,3,0,0,0
1776672047.1032538,12,11,254,-787,47,-7,164,-127,-431,3,0,0,0
1776672047.2303555,12,10,254,-796,39,-31,163,-128,-431,3,0,0,0
1776672047.3564,11,12,253,-781,26,-4,163,-128,-433,3,0,0,0
1776672047.4837434,13,11,254,-810,47,-26,164,-129,-432,3,0,0,0
1776672047.611132,13,11,254,-786,42,5,164,-127,-432,3,0,0,0
1776672047.7372708,12,10,253,-787,37,-19,163,-127,-431,3,0,0,0
1776672047.8634734,12,12,253,-804,53,-17,164,-128,-432,3,0,0,0
1776672047.9905078,13,11,253,-789,60,-7,164,-127,-433,3,0,0,0
1776672048.1175923,11,11,253,-792,35,-15,163,-128,-433,3,0,0,0
1776672048.2429755,13,12,254,-794,17,-9,163,-128,-432,3,0,0,0
1776672048.369596,12,10,252,-769,30,-23,163,-128,-432,3,0,0,0
1776672048.4960387,13,10,254,-806,63,-18,163,-128,-431,3,0,0,0
1776672048.6229985,12,11,254,-788,41,-11,163,-128,-432,3,0,0,0
1776672048.7480989,12,12,253,-778,39,-2,163,-129,-432,3,0,0,0
1776672048.8752482,13,11,252,-798,26,-19,164,-128,-433,3,0,0,0
1776672049.001516,13,10,253,-816,25,-7,164,-126,-432,3,0,0,0
1776672049.1290445,12,12,253,-793,26,0,164,-127,-432,3,0,0,0
1776672049.2552254,12,10,253,-813,82,39,163,-127,-432,3,0,0,0
1776672049.3811357,13,10,254,-815,47,-19,164,-128,-432,3,0,0,0
1776672049.507471,12,10,254,-791,41,-12,163,-128,-432,3,0,0,0
1776672049.6354723,14,11,254,-749,-2,-72,163,-128,-432,3,0,0,0
1776672049.7613645,13,11,254,-797,38,-32,163,-127,-432,3,0,0,0
1776672049.8876228,12,11,253,-808,56,-23,163,-127,-433,3,0,0,0
1776672050.014298,14,11,254,-783,-19,-56,163,-127,-432,3,0,0,0
1776672050.1411314,13,11,252,-806,40,-5,164,-128,-432,3,0,0,0
1776672050.2681768,13,11,254,-783,46,-4,163,-127,-433,3,0,0,0
1776672050.3940585,13,11,254,-804,8,-36,164,-127,-433,3,0,0,0
1776672050.522046,13,11,254,-809,55,10,163,-128,-432,3,0,0,0
1776672050.6467664,12,11,254,-776,7,-2,163,-128,-432,3,0,0,0
1776672050.7739034,12,11,253,-786,27,12,164,-127,-433,3,0,0,0
1776672050.9001539,13,11,254,-820,32,-14,163,-129,-433,3,0,0,0
1776672051.0262005,12,11,252,-845,42,-13,163,-128,-433,3,0,0,0
1776672051.1532001,14,11,254,-814,12,-15,164,-127,-433,3,0,0,0
1776672051.2802038,12,11,254,-780,45,-12,163,-128,-433,3,0,0,0
1776672051.4059718,12,11,254,-800,46,-8,164,-127,-434,3,0,0,0
1776672051.5333173,14,11,253,-818,39,3,164,-128,-433,3,0,0,0
1776672051.659049,13,11,254,-787,28,-22,163,-128,-433,3,0,0,0
1776672051.7865222,12,12,252,-800,21,-11,164,-129,-433,3,0,0,0
1776672051.912467,12,11,254,-787,22,-28,164,-128,-431,3,0,0,0
1776672052.0390074,13,11,254,-779,-10,-36,163,-129,-432,3,0,0,0
1776672052.1659584,12,11,254,-766,44,14,163,-128,-434,3,0,0,0
1776672052.29261,12,11,254,-797,37,-44,162,-128,-432,3,0,0,0
1776672052.4189749,13,11,254,-781,59,6,163,-127,-433,3,0,0,0
1776672052.5452461,12,11,253,-819,35,-10,163,-128,-432,3,0,0,0
1776672052.671467,13,11,253,-806,46,0,163,-128,-433,3,0,0,0
1776672052.7977269,11,12,253,-802,45,-31,164,-128,-433,3,0,0,0
1776672052.9245467,13,10,253,-797,45,-15,165,-129,-433,3,0,0,0
1776672053.05143,12,12,253,-786,35,-26,164,-129,-432,3,0,0,0
1776672053.1777523,13,11,254,-790,20,-17,165,-129,-433,3,0,0,0
1776672053.3046045,12,12,253,-784,27,-23,163,-128,-432,3,0,0,0
1776672053.4304285,12,10,253,-779,0,-19,163,-129,-433,3,0,0,0
1776672053.5576234,13,10,254,-803,22,-29,163,-128,-432,3,0,0,0
1776672053.684617,11,11,254,-798,8,-16,163,-128,-433,3,0,0,0
1776672053.8106058,12,11,254,-765,37,-17,163,-129,-431,3,0,0,0
1776672053.9378552,12,12,253,-803,40,-15,163,-129,-433,3,0,0,0
1776672054.0635736,12,12,253,-773,50,-30,163,-129,-433,3,0,0,0
1776672054.1904988,13,10,254,-801,22,-21,163,-128,-433,3,0,0,0
1776672054.317533,13,11,254,-785,48,4,164,-128,-433,3,0,0,0
1776672054.4437592,12,11,252,-785,31,-3,164,-129,-433,3,0,0,0
1776672054.5700884,14,11,253,-792,33,-23,163,-128,-432,3,0,0,0
1776672054.696634,12,10,253,-819,33,-4,163,-129,-433,3,0,0,0
1776672054.8232496,13,10,254,-813,23,-29,164,-129,-432,3,0,0,0
1776672054.9490833,12,11,253,-789,18,-15,163,-129,-433,3,0,0,0
1776672055.0759838,13,11,253,-776,3,-11,164,-128,-433,3,0,0,0
1776672055.2026253,12,10,253,-797,52,-16,163,-128,-433,3,0,0,0
1776672055.3291502,14,11,254,-778,33,-21,163,-128,-433,3,0,0,0
1776672055.4555428,12,11,254,-809,19,-34,163,-129,-433,3,0,0,0
1776672055.5821133,12,12,253,-774,51,-2,164,-128,-432,3,0,0,0
1776672055.70888,12,10,253,-760,46,-9,164,-129,-431,3,0,0,0
1776672055.8361113,11,11,253,-796,64,-14,163,-128,-432,3,0,0,0
1776672055.9620087,12,11,253,-812,51,-7,163,-127,-432,3,0,0,0
1776672056.088375,12,11,253,-797,36,-19,163,-127,-432,3,0,0,0
1776672056.2147658,12,10,253,-801,44,8,164,-128,-432,3,0,0,0
1776672056.3410685,12,13,251,-817,46,7,163,-128,-433,3,0,0,0
1776672056.4682527,13,12,253,-794,32,-2,164,-128,-433,3,0,0,0
1776672056.5942447,15,11,250,-850,13,-8,163,-128,-434,3,0,0,0
1776672056.7208245,12,10,253,-778,32,-28,163,-129,-433,3,0,0,0
1776672056.8462176,13,11,254,-779,64,-13,163,-129,-433,3,0,0,0
1776672056.973926,11,11,254,-796,58,-25,163,-128,-434,3,0,0,0
1776672057.1000612,13,11,252,-790,40,17,164,-129,-433,3,0,0,0
1776672057.2264478,14,11,254,-778,11,-51,164,-127,-433,3,0,0,0
1776672057.3537197,13,11,252,-793,14,-24,162,-128,-432,3,0,0,0
1776672057.4806209,13,11,253,-813,36,-10,163,-128,-433,3,0,0,0
1776672057.6064792,12,11,253,-796,61,12,162,-128,-433,3,0,0,0
1776672057.7343206,11,13,254,-780,21,-11,162,-128,-433,3,0,0,0
1776672057.8598526,13,10,254,-822,52,0,164,-127,-433,3,0,0,0
