datetime,epoch,arduino_timestamp,system,json
2026-08-28 16:08:52.804,1787904532.804,495096,,"{""seq"":9803,""timestamp"":495096,""system"":"""",""imu_data"":[{""body"":""back_upper"",""ok"":true,""cal"":true,""heading"":0.09,""pitch"":-25.28,""roll"":-19.22},{""body"":""back_lower"",""ok"":true,""cal"":true,""heading"":2.62,""pitch"":24.15,""roll"":24.98},{""body"":""left_arm"",""ok"":true,""cal"":true,""heading"":19.55,""pitch"":-20.65,""roll"":22.55},{""body"":""right_arm"",""ok"":true,""cal"":true,""heading"":-24.36,""pitch"":37.46,""roll"":60.16},{""body"":""left_forearm"",""ok"":true,""cal"":true,""heading"":9.61,""pitch"":11.65,""roll"":12.16},{""body"":""right_forearm"",""ok"":true,""cal"":true,""heading"":29.04,""pitch"":-3.66,""roll"":44.88},{""body"":""left_hand"",""ok"":true,""cal"":true,""heading"":8.72,""pitch"":-15.2,""roll"":11.36},{""body"":""right_hand"",""ok"":true,""cal"":true,""heading"":-32.1,""pitch"":8.16,""roll"":48.75}]}"
2026-08-28 16:08:52.955,1787904532.955,495247,,"{""seq"":9806,""timestamp"":495247,""system"":"""",""imu_data"":[{""body"":""back_upper"",""ok"":true,""cal"":true,""heading"":0.56,""pitch"":-25.44,""roll"":-20.19},{""body"":""back_lower"",""ok"":true,""cal"":true,""heading"":2.52,""pitch"":24.1,""roll"":24.75},{""body"":""left_arm"",""ok"":true,""cal"":true,""heading"":26.31,""pitch"":-18.87,""roll"":16.54},{""body"":""right_arm"",""ok"":true,""cal"":true,""heading"":-28.58,""pitch"":38.19,""roll"":52.53},{""body"":""left_forearm"",""ok"":true,""cal"":true,""heading"":18.23,""pitch"":6.49,""roll"":12.16},{""body"":""right_forearm"",""ok"":true,""cal"":true,""heading"":21.07,""pitch"":1.7,""roll"":45.62},{""body"":""left_hand"",""ok"":true,""cal"":true,""heading"":13.76,""pitch"":-19.39,""roll"":-3.46},{""body"":""right_hand"",""ok"":true,""cal"":true,""heading"":-32.34,""pitch"":6.17,""roll"":37.43}]}"
2026-08-28 16:08:53.115,1787904533.115,495407,,"{""seq"":9809,""timestamp"":495407,""system"":"""",""imu_data"":[{""body"":""back_upper"",""ok"":true,""cal"":true,""heading"":1.12,""pitch"":-25.11,""roll"":-20.95},{""body"":""back_lower"",""ok"":true,""cal"":true,""heading"":2.46,""pitch"":23.91,""roll"":24.54},{""body"":""left_arm"",""ok"":true,""cal"":true,""heading"":34.28,""pitch"":-15.68,""roll"":9.59},{""body"":""right_arm"",""ok"":true,""cal"":true,""heading"":-32.0,""pitch"":38.84,""roll"":44.61},{""body"":""left_forearm"",""ok"":true,""cal"":true,""heading"":27.7,""pitch"":-0.32,""roll"":9.84},{""body"":""right_forearm"",""ok"":true,""cal"":true,""heading"":10.25,""pitch"":8.07,""roll"":43.73},{""body"":""left_hand"",""ok"":true,""cal"":true,""heading"":21.02,""pitch"":-26.14,""roll"":-21.64},{""body"":""right_hand"",""ok"":true,""cal"":true,""heading"":-31.76,""pitch"":4.52,""roll"":22.18}]}"
2026-08-28 16:08:53.275,1787904533.275,495567,,"{""seq"":9812,""timestamp"":495567,""system"":"""",""imu_data"":[{""body"":""back_upper"",""ok"":true,""cal"":true,""heading"":1.65,""pitch"":-24.69,""roll"":-21.73},{""body"":""back_lower"",""ok"":true,""cal"":true,""heading"":2.35,""pitch"":23.44,""roll"":24.29},{""body"":""left_arm"",""ok"":true,""cal"":true,""heading"":39.88,""pitch"":-6.89,""roll"":4.63},{""body"":""right_arm"",""ok"":true,""cal"":true,""heading"":-36.84,""pitch"":32.43,""roll"":36.73},{""body"":""left_forearm"",""ok"":true,""cal"":true,""heading"":36.84,""pitch"":-4.48,""roll"":1.95},{""body"":""right_forearm"",""ok"":true,""cal"":true,""heading"":-3.81,""pitch"":5.45,""roll"":38.27},{""body"":""left_hand"",""ok"":true,""cal"":true,""heading"":28.87,""pitch"":-29.92,""roll"":-45.79},{""body"":""right_hand"",""ok"":true,""cal"":true,""heading"":-27.4,""pitch"":4.63,""roll"":1.41}]}"
2026-08-28 16:08:53.487,1787904533.487,495779,,"{""seq"":9816,""timestamp"":495779,""system"":"""",""imu_data"":[{""body"":""back_upper"",""ok"":true,""cal"":true,""heading"":2.3,""pitch"":-24.53,""roll"":-21.52},{""body"":""back_lower"",""ok"":true,""cal"":true,""heading"":2.34,""pitch"":23.09,""roll"":23.72},{""body"":""left_arm"",""ok"":true,""cal"":true,""heading"":40.13,""pitch"":14.25,""roll"":0.4},{""body"":""right_arm"",""ok"":true,""cal"":true,""heading"":-41.08,""pitch"":23.13,""roll"":27.99},{""body"":""left_forearm"",""ok"":true,""cal"":true,""heading"":48.51,""pitch"":-3.28,""roll"":-18.68},{""body"":""right_forearm"",""ok"":true,""cal"":true,""heading"":-19.35,""pitch"":1.1,""roll"":28.09},{""body"":""left_hand"",""ok"":true,""cal"":true,""heading"":30.18,""pitch"":-26.05,""roll"":-76.35},{""body"":""right_hand"",""ok"":true,""cal"":true,""heading"":-21.34,""pitch"":12.33,""roll"":-27.84}]}"
2026-08-28 16:08:53.648,1787904533.648,495940,,"{""seq"":9819,""timestamp"":495940,""system"":"""",""imu_data"":[{""body"":""back_upper"",""ok"":true,""cal"":true,""heading"":2.48,""pitch"":-23.99,""roll"":-21.68},{""body"":""back_lower"",""ok"":true,""cal"":true,""heading"":2.13,""pitch"":22.63,""roll"":23.28},{""body"":""left_arm"",""ok"":true,""cal"":true,""heading"":40.04,""pitch"":22.42,""roll"":-1.65},{""body"":""right_arm"",""ok"":true,""cal"":true,""heading"":-42.9,""pitch"":18.24,""roll"":23.33},{""body"":""left_forearm"",""ok"":true,""cal"":true,""heading"":53.07,""pitch"":-6.3,""roll"":-30.4},{""body"":""right_forearm"",""ok"":true,""cal"":true,""heading"":-27.1,""pitch"":-2.36,""roll"":18.49},{""body"":""left_hand"",""ok"":true,""cal"":true,""heading"":32.24,""pitch"":-26.84,""roll"":-103.01},{""body"":""right_hand"",""ok"":true,""cal"":true,""heading"":-18.98,""pitch"":20.17,""roll"":-47.49}]}"
2026-08-28 16:08:53.808,1787904533.808,496100,,"{""seq"":9822,""timestamp"":496100,""system"":"""",""imu_data"":[{""body"":""back_upper"",""ok"":true,""cal"":true,""heading"":2.71,""pitch"":-23.55,""roll"":-21.85},{""body"":""back_lower"",""ok"":true,""cal"":true,""heading"":2.0,""pitch"":22.26,""roll"":23.03},{""body"":""left_arm"",""ok"":true,""cal"":true,""heading"":39.27,""pitch"":24.79,""roll"":-4.31},{""body"":""right_arm"",""ok"":true,""cal"":true,""heading"":-42.99,""pitch"":16.02,""roll"":20.71},{""body"":""left_forearm"",""ok"":true,""cal"":true,""heading"":54.72,""pitch"":-11.64,""roll"":-39.74},{""body"":""right_forearm"",""ok"":true,""cal"":true,""heading"":-30.47,""pitch"":-6.18,""roll"":11.02},{""body"":""left_hand"",""ok"":true,""cal"":true,""heading"":37.53,""pitch"":-30.93,""roll"":-128.39},{""body"":""right_hand"",""ok"":true,""cal"":true,""heading"":-13.44,""pitch"":23.3,""roll"":-64.88}]}"
2026-08-28 16:08:53.959,1787904533.959,496251,,"{""seq"":9825,""timestamp"":496251,""system"":"""",""imu_data"":[{""body"":""back_upper"",""ok"":true,""cal"":true,""heading"":2.78,""pitch"":-23.71,""roll"":-21.95},{""body"":""back_lower"",""ok"":true,""cal"":true,""heading"":2.03,""pitch"":22.25,""roll"":22.97},{""body"":""left_arm"",""ok"":true,""cal"":true,""heading"":39.0,""pitch"":24.2,""roll"":-6.0},{""body"":""right_arm"",""ok"":true,""cal"":true,""heading"":-42.68,""pitch"":16.02,""roll"":20.32},{""body"":""left_forearm"",""ok"":true,""cal"":true,""heading"":55.63,""pitch"":-16.2,""roll"":-44.16},{""body"":""right_forearm"",""ok"":true,""cal"":true,""heading"":-30.44,""pitch"":-8.64,""roll"":5.17},{""body"":""left_hand"",""ok"":true,""cal"":true,""heading"":46.59,""pitch"":-30.83,""roll"":-148.17},{""body"":""right_hand"",""ok"":true,""cal"":true,""heading"":-10.02,""pitch"":30.42,""roll"":-74.78}]}"
2026-08-28 16:08:54.118,1787904534.118,496410,,"{""seq"":9828,""timestamp"":496410,""system"":"""",""imu_data"":[{""body"":""back_upper"",""ok"":true,""cal"":true,""heading"":2.75,""pitch"":-24.08,""roll"":-21.79},{""body"":""back_lower"",""ok"":true,""cal"":true,""heading"":1.96,""pitch"":22.45,""roll"":22.78},{""body"":""left_arm"",""ok"":true,""cal"":true,""heading"":38.7,""pitch"":24.45,""roll"":-5.79},{""body"":""right_arm"",""ok"":true,""cal"":true,""heading"":-42.59,""pitch"":15.97,""roll"":20.55},{""body"":""left_forearm"",""ok"":true,""cal"":true,""heading"":54.65,""pitch"":-14.48,""roll"":-40.96},{""body"":""right_forearm"",""ok"":true,""cal"":true,""heading"":-29.9,""pitch"":-8.73,""roll"":7.02},{""body"":""left_hand"",""ok"":true,""cal"":true,""heading"":44.74,""pitch"":-26.91,""roll"":-148.91},{""body"":""right_hand"",""ok"":true,""cal"":true,""heading"":-11.96,""pitch"":32.92,""roll"":-76.95}]}"
2026-08-28 16:08:54.283,1787904534.283,496575,,"{""seq"":9831,""timestamp"":496575,""system"":"""",""imu_data"":[{""body"":""back_upper"",""ok"":true,""cal"":true,""heading"":2.55,""pitch"":-24.11,""roll"":-21.48},{""body"":""back_lower"",""ok"":true,""cal"":true,""heading"":1.95,""pitch"":22.5,""roll"":22.45},{""body"":""left_arm"",""ok"":true,""cal"":true,""heading"":38.37,""pitch"":23.79,""roll"":-2.91},{""body"":""right_arm"",""ok"":true,""cal"":true,""heading"":-42.9,""pitch"":14.68,""roll"":22.76},{""body"":""left_forearm"",""ok"":true,""cal"":true,""heading"":51.56,""pitch"":-8.29,""roll"":-30.78},{""body"":""right_forearm"",""ok"":true,""cal"":true,""heading"":-27.22,""pitch"":-6.85,""roll"":18.07},{""body"":""left_hand"",""ok"":true,""cal"":true,""heading"":36.35,""pitch"":-20.62,""roll"":-131.42},{""body"":""right_hand"",""ok"":true,""cal"":true,""heading"":-13.64,""pitch"":23.7,""roll"":-68.37}]}"
