time,Roll,Pitch,Yaw,Ax,Ay,Az,D1,D2
0.0,-1.07,-1.8,58.35,36,269,8,0,0
0.1397228240966797,-10.83,-0.5,57.52,27,275,0,200,0
0.27927565574645996,-13.6,3.72,57.85,8,264,4,200,0
0.4136018753051758,-10.16,2.13,57.92,17,265,4,114,0
0.553957462310791,-10.11,-4.42,57.92,35,271,2,200,0
0.6941432952880859,-19.4,-8.07,57.65,29,268,4,200,0
0.8342022895812988,-26.48,-6.47,57.01,28,265,1,200,0
0.9743328094482422,-29.01,7.38,61.39,18,271,-3,200,0
1.1148912906646729,-28.83,3.46,58.84,20,267,0,200,0
1.2555437088012695,-30.86,-4.44,56.63,27,266,-5,200,0
